date,open,high,low,close,volume
2015/08/12,33487,34319,33400,33642,3935.09
2015/08/13,33642,34502,33236,33371,4179.71
2015/08/14,33371,33752,33174,33511,3162.82
2015/08/15,33511,33704,33187,33277,2815.43
2015/08/16,33277,33285,32170,32342,3002.13
2015/08/17,32342,32778,32277,32534,3453.87
2015/08/18,32534,32654,31717,31793,4684.11
2015/08/19,31793,32074,28689,29580,8067.94
2015/08/20,29580,30033,28879,29843,6485.17
2015/08/21,29843,30179,29214,29333,4800.86
2015/08/22,29333,29603,28694,28822,3750.99
2015/08/23,28822,29230,28026,28988,2921.98
2015/08/24,28988,29048,27135,27135,6461.28
2015/08/25,27135,27215,24657,26629,10343.82
2015/08/26,26629,28397,26629,28340,6793.8
2015/08/27,28340,28355,27806,28053,3605.43
2015/08/28,28053,28141,27614,28035,3966.33
2015/08/29,28035,28969,27968,28265,3144.31
2015/08/30,28265,28666,28235,28343,3351.82
2015/08/31,28343,28609,28041,28347,4370.48
2015/09/01,28347,28672,28009,28042,4869.96
2015/09/02,28042,28186,27909,28067,3775.01
2015/09/03,28067,28400,27910,28074,3650.1
2015/09/04,28074,28107,27776,27953,4336.79
2015/09/05,27953,28373,27813,28274,2649.62
2015/09/06,28274,29373,28243,29329,3504.79
2015/09/07,29329,29329,28944,29157,3337.39
2015/09/08,29157,29694,29041,29408,5401.62
2015/09/09,29408,29630,29069,29206,5834.61
2015/09/10,29206,29347,28857,29248,4311.87
2015/09/11,29248,29595,29118,29426,3993.71
2015/09/12,29426,29629,29259,29259,2606.68
2015/09/13,29259,29322,28425,28507,3372.11
2015/09/14,28507,28555,27815,28409,5758.04
2015/09/15,28409,28459,28067,28067,4435.63
2015/09/16,28067,28236,27734,28067,4390.59
2015/09/17,28067,28135,27764,28135,4081.97
2015/09/18,28135,28577,28037,28105,4649.47
2015/09/19,28105,28371,27954,27955,3519.42
2015/09/20,27955,28138,27898,27988,2094.09
2015/09/21,27988,28139,27404,27680,3610.91
2015/09/22,27680,28059,27276,27791,4559.91
2015/09/23,27791,28041,27596,27877,2157.05
2015/09/24,27877,28338,27867,28059,4226.36
2015/09/25,28059,28887,28042,28809,4217.62
2015/09/26,28809,28809,28402,28509,2553.34
2015/09/27,28509,28625,28390,28401,2473.19
2015/09/28,28401,28900,28310,28813,4623.86
2015/09/29,28813,28936,28700,28779,4292.12
2015/09/30,28779,29131,28626,28999,4200.62
2015/10/01,28999,29075,28848,28944,4498.93
2015/10/02,28944,29248,28944,29084,4399.83
2015/10/03,29084,29209,28946,29192,3003.86
2015/10/04,29192,29256,28997,29099,2946.49
2015/10/05,29099,29157,29031,29095,4006.48
2015/10/06,29095,29823,29095,29760,5816.88
2015/10/07,29760,29963,29682,29712,5390.15
2015/10/08,29712,29760,29429,29596,4037.98
2015/10/09,29596,29683,29500,29555,4853.24
2015/10/10,29694,29769,29517,29521,2852.25
2015/10/11,29521,29834,29521,29785,3683.85
2015/10/12,29785,30274,29631,29728,6709.11
2015/10/13,29728,30072,29556,30061,6216.75
2015/10/14,30061,30268,29879,30244,6032.69
2015/10/15,30244,30557,30182,30387,6951.32
2015/10/16,30387,31197,30320,31197,7110.69
2015/10/17,31197,32829,31197,32829,9828.92
2015/10/18,32829,32829,31739,31739,10263.34
2015/10/19,31739,31947,31436,31877,8377.6
